id,fighter_name,fighter_record,height,weight,reach,stance,date_of_birth,slpm,td_avg,strike_acc,td_acc,sapm,td_def,strike_def,sub_avg
134,Michel Pereira,Record: 27-11-0 (2 NC),"6'' 1'"",170,73,Orthodox,Oct 06 1993,4.71,1.84,55,55,3.24,100,60,0.7
135,Viviane Pereira,Record: 13-2-0,"5'' 1'"",115,63,Orthodox,Aug 28 1993,2.7,0.25,30,100,4.48,28,58,0.2
136,Robert Peralta,Record: 18-8-0 (1 NC),"5'' 8'"",145,71,Orthodox,Mar 14 1986,3.76,0.59,44,66,2.97,65,53,0
137,Ray Perales,Record: 13-22-0,"5'' 10'"",170,,Orthodox,--,0.18,0,25,0,2.39,33,32,0
138,Godofredo Pepey,Record: 13-6-0,"5'' 7'"",145,73,Orthodox,Jul 02 1987,2.32,0.37,38,7,3.23,35,47,1.5
139,Jerron Peoples,Record: 4-3-0,"6'' 0'"",170,,"",May 04 1982,0,0,0,0,0,0,0,0
140,Raquel Pennington,Record: 14-9-0,"5'' 7'"",135,67,Orthodox,Sep 05 1988,3.93,1,50,28,3.28,63,62,0.7
141,Justin Pennington,Record: 3-3-0,"5'' 4'"",,,"",--,0,0,0,0,0,0,0,0
142,Nick Penner,Record: 11-3-0,"6'' 4'"",205,,Southpaw,Mar 26 1980,1.25,0,30,0,4.6,40,38,0
143,Jessica Penne,Record: 14-6-0,"5'' 5'"",115,67,Orthodox,Jan 30 1983,2.41,1.57,34,25,4.34,40,47,0.7
144,BJ Penn,Record: 16-14-2,"5'' 9'"",155,70,Orthodox,Dec 13 1978,2.76,1.19,48,55,3.2,74,56,0.5
145,Cathal Pendred,Record: 17-4-1,"6'' 1'"",170,75,Orthodox,Sep 02 1987,2.49,2.46,44,23,3.01,83,55,0.4
146,Drew Pendleton,Record: 5-0-0,--,145,,"",Dec 08 1983,0,0,0,0,0,0,0,0
147,Sherman Pendergarst,Record: 11-18-0 (1 NC),"6'' 1'"",235,,Orthodox,Aug 01 1967,1.23,4.62,36,100,3.08,0,16,0
148,Luis Pena,Record: 9-3-0,"6'' 3'"",155,75,Southpaw,Jul 05 1993,3.66,1.17,46,33,3.12,48,51,1.2
149,Julianna Pena,Record: 12-4-0,"5'' 6'"",135,69,Orthodox,Aug 19 1989,3.36,2.43,49,55,2.02,22,53,0.9
150,Yan Pellerin,Record: 11-13-0,"5'' 11'"",205,,Orthodox,--,0.59,4.43,25,100,0.89,0,66,0
151,Kurt Pellegrino,Record: 16-7-0,"5'' 8'"",155,70,Orthodox,May 07 1979,2.45,2.9,43,54,1.94,69,63,0.8
152,Filip Pejic,Record: 12-2-2,"5'' 8'"",135,,Orthodox,Jul 21 1992,0,0,0,0,0.88,0,33,0
153,Willie Peeters,Record: 9-10-1,"5'' 9'"",220,,Orthodox,Oct 26 1965,0,0,0,0,0,0,0,0
154,Tyson Pedro,Record: 8-3-0,"6'' 3'"",205,79,Orthodox,Sep 17 1991,2.89,0.66,64,25,2.36,52,51,1.3
155,Matt Pedro,Record: 3-1-0,--,,,"",--,0,0,0,0,0,0,0,0
156,Carlo Pedersoli Jr.,Record: 11-3-0,"5'' 11'"",170,75,Southpaw,Jun 08 1993,4.17,2.91,37,44,4.12,0,61,0
157,Andre Pederneiras,Record: 1-1-2,"5'' 8'"",155,,Orthodox,Mar 22 1967,0,0,0,0,0,0,0,0
158,Ross Pearson,Record: 20-16-0 (1 NC),"5'' 8'"",155,69,Orthodox,Sep 26 1984,3.68,0.74,40,35,4.09,75,62,0
159,Joe Pearson,Record: 45-30-1,"5'' 10'"",145,,Orthodox,Mar 28 1978,0.59,0,18,0,3.51,0,33,4.4
160,Jonathan Pearce,Record: 12-4-0,"6'' 0'"",145,71,Switch,May 01 1992,4.98,6.79,52,58,4.1,60,48,1.3
161,Roland Payne,Record: 0-1-0,"5'' 9'"",205,,Orthodox,--,0,0,0,0,0,0,0,0
162,Sarah Payant,Record: 1-4-0,"5'' 4'"",115,,"",--,0.29,0,16,0,2.06,0,30,0
163,Estevan Payan,Record: 16-12-0 (1 NC),"5'' 10'"",145,,Orthodox,Mar 14 1982,4.25,0.36,42,100,3.58,60,57,0.4
164,Pawel Pawlak,Record: 12-3-0,"6'' 0'"",170,73,Orthodox,Feb 08 1989,1.67,1,33,37,2.22,70,53,0
165,Sergei Pavlovich,Record: 15-1-0,"6'' 3'"",257,84,Southpaw,May 13 1992,6.08,0,50,0,4.45,66,46,0
166,Julio Paulino,Record: 23-5-0,"6'' 0'"",170,,Orthodox,Dec 04 1975,0.97,0,27,0,1.87,37,48,0.5
167,Justin Patterson,Record: 9-3-0,"5'' 10'"",170,,"",Dec 07 1985,0,0,0,0,0,0,0,0
168,Michael Patt,Record: 12-4-0,"6'' 0'"",205,,Orthodox,--,1.65,0,28,0,5.53,0,55,0
169,Alan Patrick,Record: 15-4-0 (1 NC),"5'' 11'"",155,74,Southpaw,Jul 19 1983,1.82,3.01,40,33,2.95,43,43,0.3
170,Claude Patrick,Record: 14-2-0,"5'' 11'"",170,75,Orthodox,Jun 14 1980,1.8,2.32,55,53,0.89,84,69,1.7
171,Russell Patrick,Record: 6-4-0,"5'' 9'"",145,,"",--,0,0,0,0,0,0,0,0
172,Jorge Patino,Record: 38-19-2 (2 NC),"5'' 8'"",170,,Orthodox,Aug 05 1973,1.33,0.54,30,25,3.14,50,53,0
173,Jhonoven Pati,Record: 6-4-0,"6'' 1'"",185,75,Switch,Aug 29 1990,2.88,2.7,53,100,6.13,0,33,0
174,Ramona Pascual,Record: 6-3-0,"5'' 7'"",145,66,Southpaw,Sep 23 1988,3.47,3,52,30,6.53,0,55,0
175,Onassis Parungao,Record: 2-1-0,"5'' 11'"",200,,"",--,0,0,0,0,0,0,0,0
176,Jonny Parsons,Record: 8-2-0,"5'' 9'"",170,69,Orthodox,Sep 06 1991,3.53,0,38,0,5.2,50,55,0
177,Preston Parsons,Record: 10-3-0,"5'' 11'"",170,71,Orthodox,Jul 15 1995,5.22,3.19,63,40,3.83,100,49,4
178,Jordan Parsons,Record: 11-2-0,"5'' 9'"",145,,"",Aug 26 1990,3.29,1.54,40,21,2.37,50,60,1
179,Willie Parks,Record: 5-2-0,"5'' 10'"",185,,"",Nov 04 1983,0,0,0,0,0,0,0,0
180,Tyra Parker,Record: 4-5-0,"5'' 5'"",115,,Orthodox,--,1.5,0,22,0,9,0,14,0
181,Larry Parker,Record: 13-6-1,"5'' 11'"",205,,Orthodox,--,0,0,0,0,0,0,0,0
182,Ryan Parker,Record: 0-1-0,"6'' 3'"",235,,Southpaw,--,0,0,0,0,0,0,0,0
183,Norman Parke,Record: 23-6-1,"5'' 11'"",155,70,Southpaw,Dec 22 1986,3.06,1.98,35,26,2.88,77,64,0
184,HyunSung Park,Record: 5-0-0,--,125,,"",--,0,0,0,0,0,0,0,0
185,Harvey Park,Record: 12-3-0,"6'' 0'"",155,70,Orthodox,Mar 22 1986,3.77,0,50,0,7.21,0,33,0
186,Junyong Park,Record: 13-5-0,"5'' 10'"",185,73,Orthodox,Feb 27 1991,4.69,2.62,48,57,3.83,47,52,0.5
187,Won Sik Park,Record: 11-7-1 (1 NC),"5'' 11'"",154,,Orthodox,--,2.6,0,43,0,2.2,0,47,0
188,Karo Parisyan,Record: 24-11-0 (1 NC),"5'' 10'"",170,72,Orthodox,Aug 28 1982,2.49,5.27,41,59,2.19,59,58,1
189,Josh Parisian,Record: 14-5-0,"6'' 4'"",265,79,Orthodox,Jun 28 1989,4.93,0.31,51,11,4.95,42,42,0.3
190,Ido Pariente,Record: 13-6-0,"5'' 8'"",155,,Orthodox,--,0,0,0,0,2.86,0,45,0
191,Remco Pardoel,Record: 9-6-1 (2 NC),"6'' 3'"",260,,Southpaw,--,0,0,0,0,0,0,0,0
192,Bryan Pardoe,Record: 13-16-0,"6'' 1'"",205,,Orthodox,--,1.11,4.75,36,40,4.59,33,45,0
193,Joe Pardo,Record: 4-6-0,"6'' 1'"",210,,Southpaw,--,0,0,0,0,0,0,0,0
194,Kathryn Paprocki,Record: 3-2-0,"5'' 3'"",115,63,Orthodox,Apr 28 1993,1,0,23,0,4.27,0,43,0
195,Jared Papazian,Record: 20-13-0 (1 NC),"5'' 8'"",135,67,Southpaw,Feb 01 1988,3.33,0,39,0,3.81,50,44,0
196,Alexandre Pantoja,Record: 24-5-0,"5'' 5'"",125,67,Orthodox,Apr 16 1990,4.24,1.26,48,38,3.34,67,55,1.1
197,Eduardo Pamplona,Record: 16-4-0,"5'' 11'"",170,,"",Feb 20 1973,0,0,0,0,0,0,0,0
198,Stephen Palling,Record: 11-7-1,"5'' 4'"",143,,"",Jan 29 1967,0,0,0,0,0,0,0,0
199,Tulio Palhares,Record: 2-16-0,--,180,,"",--,0,0,0,0,0,0,0,0
200,Rousimar Palhares,Record: 19-8-0,"5'' 8'"",170,71,Orthodox,Feb 26 1980,1.75,3.93,51,45,2.04,0,59,4.1
201,Soa Palelei,Record: 22-5-0,"6'' 4'"",265,81,Orthodox,Jul 12 1977,2.47,2.2,57,47,2.68,66,48,0
