id,fighter_url,fighter_name,fighter_record,height,weight,reach,stance,date_of_birth,slpm,td_avg,strike_acc,td_acc,sapm,td_def,strike_def,sub_avg
2673,http://ufcstats.com/fighter-details/404ecb2700844072,DeAnna Bennett,Record: 8-3-1,"5' 4""",125,68,Orthodox,Nov 18 1984,3.13,0.0,58.0,0.0,3.27,0.0,58.0,1.0
2674,http://ufcstats.com/fighter-details/c3ac8d0da7b05772,Josh Bennett,Record: 11-14-0,"6' 4""",259,,Orthodox,--,2.9,1.5,40.0,100.0,5.8,100.0,43.0,0.0
2675,http://ufcstats.com/fighter-details/8dc4f34c1f50d00d,Charles Bennett,Record: 30-33-2,"5' 8""",155,,Orthodox,Nov 23 1979,1.39,2.02,39.0,100.0,1.35,36.0,64.0,2.0
2676,http://ufcstats.com/fighter-details/436f970c9ea9169c,Gabriel Benitez,Record: 23-11-0,"5' 8""",155,71,Southpaw,Jun 15 1988,4.79,0.27,41.0,50.0,4.05,58.0,65.0,1.1
2677,http://ufcstats.com/fighter-details/6104730621ff318d,Karla Benitez,Record: 14-11-1 (1 NC),"5' 3""",113,,,--,0.0,0.0,0.0,0.0,2.4,100.0,57.0,0.0
2678,http://ufcstats.com/fighter-details/9fd1f08dd4aec14a,Dave Beneteau,Record: 6-5-1,"6' 2""",250,,Orthodox,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2679,http://ufcstats.com/fighter-details/a71feb7ea7592a71,Mike Bencic,Record: 1-2-0,"6' 0""",215,,Orthodox,--,0.0,0.0,0.0,0.0,3.32,0.0,53.0,0.0
2680,http://ufcstats.com/fighter-details/80eacd4da0617c57,Joseph Benavidez,Record: 28-8-0,"5' 4""",125,65,Southpaw,Jul 31 1984,3.52,1.41,34.0,30.0,2.67,62.0,61.0,0.6
2681,http://ufcstats.com/fighter-details/ec71a892fada28c7,Marco Beltran,Record: 8-6-0,"5' 8""",125,69,Orthodox,May 18 1986,2.07,0.7,37.0,50.0,1.93,46.0,63.0,0.2
2682,http://ufcstats.com/fighter-details/46baf0f57edfa4df,Joey Beltran,Record: 17-14-0 (1 NC),"6' 1""",185,75,Orthodox,Dec 08 1981,4.92,0.48,36.0,18.0,5.27,75.0,54.0,0.0
2683,http://ufcstats.com/fighter-details/c3f6db17cea09ca7,Danilo Belluardo,Record: 12-5-0,"6' 0""",155,74,Southpaw,Jul 21 1994,1.52,3.5,61.0,100.0,4.79,50.0,41.0,0.0
2684,http://ufcstats.com/fighter-details/69898645d600abdb,Rodolfo Bellato,Record: 11-2-0,"6' 3""",205,75,Orthodox,Feb 05 1996,5.39,0.82,62.0,25.0,4.9,100.0,45.0,0.8
2685,http://ufcstats.com/fighter-details/7674b836ce0698a0,Yousri Belgaroui,Record: 5-3-0,"6' 5""",185,79,Orthodox,Jul 07 1987,2.2,0.0,47.0,0.0,3.2,75.0,51.0,0.0
2686,http://ufcstats.com/fighter-details/0ee783aa00e468f0,Vitor Belfort,Record: 26-14-0 (1 NC),"6' 0""",185,74,Southpaw,Apr 01 1977,1.59,1.02,46.0,60.0,2.83,53.0,50.0,0.6
2687,http://ufcstats.com/fighter-details/4130a743d9d22163,Alan Belcher,Record: 18-8-0,"6' 2""",185,75,Orthodox,Apr 24 1984,2.7,0.44,41.0,26.0,3.1,55.0,59.0,0.9
2688,http://ufcstats.com/fighter-details/d7e40dca3ae125be,Diana Belbita,Record: 15-8-0,"5' 7""",115,68,Orthodox,Jun 26 1996,6.59,0.97,42.0,62.0,6.43,69.0,51.0,0.0
