fighter1,fighter2,win,reach_diff,height_diff,age_diff,slpm_diff,td_avg_diff,strike_acc_diff,td_acc_diff,sapm_diff,td_def_diff,strike_def_diff,sub_avg_diff,total_wins_diff,total_losses_diff,total_draws_diff,ufc_wins_diff,ufc_losses_diff,ufc_nc_diff
David Dvorak,Steve Erceg,0,0.0,-7.6200000000000045,-3.14031485284052,-0.1200000000000001,-2.42,5.0,-45.0,-0.23999999999999977,4.0,6.0,-0.8,10.0,5.0,0.0,0.0,0.0,5.0
Blake Bilder,Kyle Nelson,0,-3.0,-7.6200000000000045,-0.7720739219712526,1.5,-0.7,6.0,-10.0,-0.019999999999999574,27.0,4.0,0.20000000000000007,-7.0,-4.0,0.0,0.0,0.0,-6.0
Aoriqileng,Aiemann Zahabi,0,1.0,-2.539999999999992,5.598904859685147,2.2699999999999996,1.39,7.0,30.0,2.1599999999999997,-17.0,-22.0,0.0,15.0,8.0,0.0,0.0,0.0,0.0
Jasmine Jasudavicius,Miranda Maverick,1,3.0,10.159999999999997,-8.334017796030116,-0.16999999999999993,-0.2400000000000002,-6.0,-11.0,1.79,38.0,-8.0,-0.5,-5.0,-2.0,0.0,0.0,0.0,-3.0
Marc-Andre Barriault,Eryk Anders,1,-1.0,0.0,2.830937713894593,2.39,-1.3,0.0,1.0,0.8300000000000001,-12.0,3.0,0.0,1.0,-2.0,0.0,0.0,0.0,-5.0
Dan Ige,Nate Landwehr,1,-1.0,-5.079999999999984,3.164955509924709,-2.38,0.0,-1.0,-15.0,-2.0500000000000003,-28.0,2.0,-0.8,0.0,2.0,0.0,0.0,0.0,8.0
Adam Fugitt,Mike Malott,0,4.0,0.0,-2.817248459958932,0.08999999999999986,0.9000000000000004,12.0,-22.0,2.06,50.0,-8.0,-1.5,-1.0,3.0,-1.0,0.0,0.0,0.0
Beneil Dariush,Charles Oliveira,0,-2.0,0.0,-0.4490075290896646,0.25,-0.4099999999999999,-4.0,-6.0,-0.56,25.0,7.0,-1.8000000000000003,-12.0,-4.0,1.0,0.0,0.0,-10.0
Irene Aldana,Amanda Nunes,0,-1.0,2.539999999999992,-0.17796030116358658,0.3100000000000005,-2.56,-12.0,-4.0,3.09,-7.0,2.0,-0.39999999999999997,-9.0,2.0,0.0,0.0,0.0,-6.0
Luan Lacerda,Da'Mon Blackshear,0,-1.0,-7.6200000000000045,-1.593429158110883,0.23999999999999932,-1.0799999999999998,-3.0,-12.0,2.9800000000000004,9.0,-1.0,-0.20000000000000007,-2.0,-3.0,-1.0,0.0,0.0,-3.0
